item_id,domain,unit_scope,audit_question,risk_description,risk_level,source_citation,recommendation,review_status
CHK_01,An toan kho quy,Chi nhanh loai 1,Chi nhanh loai 1 co thuc hien dung yeu cau tai Điều 1. Phạm vi và đối tượng tuân thủ khong?,Rui ro van hanh hoac khong tuan thu quy dinh noi bo.,MEDIUM,[100/QĐ-NHNO-AT - Quy định nội bộ số 100/QĐ-NHNO-AT | Điều 1 | doc_agr_at01_01],"Thu thap bang chung, doi chieu dieu khoan nguon va yeu cau kiem toan vien xac minh.",NEEDS_HUMAN_REVIEW
CHK_02,An toan kho quy,Chi nhanh loai 1,Chi nhanh loai 1 co thuc hien dung yeu cau tai Điều 12. Xe bọc thép và phương án bảo vệ khong?,Rui ro van hanh hoac khong tuan thu quy dinh noi bo.,MEDIUM,[100/QĐ-NHNO-AT - Quy định nội bộ số 100/QĐ-NHNO-AT | Điều 12 | doc_agr_at01_02],"Thu thap bang chung, doi chieu dieu khoan nguon va yeu cau kiem toan vien xac minh.",NEEDS_HUMAN_REVIEW
CHK_03,An toan kho quy,Chi nhanh loai 1,Chi nhanh loai 1 co thuc hien dung yeu cau tai Điều 25. Kiểm đếm và niêm phong tiền nghi giả khong?,Rui ro van hanh hoac khong tuan thu quy dinh noi bo.,MEDIUM,[100/QĐ-NHNO-AT - Quy định nội bộ số 100/QĐ-NHNO-AT | Điều 25 | doc_agr_at01_03],"Thu thap bang chung, doi chieu dieu khoan nguon va yeu cau kiem toan vien xac minh.",NEEDS_HUMAN_REVIEW
CHK_04,An toan kho quy,Chi nhanh loai 1,Chi nhanh loai 1 co thuc hien dung yeu cau tai Điều 30. Trách nhiệm của Ban Quản lý kho tiền khong?,Rui ro van hanh hoac khong tuan thu quy dinh noi bo.,MEDIUM,[100/QĐ-NHNO-AT - Quy định nội bộ số 100/QĐ-NHNO-AT | Điều 30 | doc_agr_at01_04],"Thu thap bang chung, doi chieu dieu khoan nguon va yeu cau kiem toan vien xac minh.",NEEDS_HUMAN_REVIEW
CHK_01,Bao mat CNTT va AI,Khoi CNTT,Khoi CNTT co thuc hien dung yeu cau tai Điều 9. Tiêu chuẩn mã hóa dữ liệu ứng dụng AI khong?,Rui ro van hanh hoac khong tuan thu quy dinh noi bo.,MEDIUM,[600/QC-NHNO-CNTT - Quy chế bảo mật CNTT số 600/QC-NHNO-CNTT | Điều 9 | doc_agr_it07_01],"Thu thap bang chung, doi chieu dieu khoan nguon va yeu cau kiem toan vien xac minh.",NEEDS_HUMAN_REVIEW
CHK_02,Bao mat CNTT va AI,Khoi CNTT,Khoi CNTT co thuc hien dung yeu cau tai Điều 16. Thời hạn lưu trữ và trường thông tin Audit Log khong?,Rui ro van hanh hoac khong tuan thu quy dinh noi bo.,MEDIUM,[600/QC-NHNO-CNTT - Quy chế bảo mật CNTT số 600/QC-NHNO-CNTT | Điều 16 | doc_agr_it07_02],"Thu thap bang chung, doi chieu dieu khoan nguon va yeu cau kiem toan vien xac minh.",NEEDS_HUMAN_REVIEW
